topic,title,oneline,source,url
Manipulation Deception,NPR: Their teen sons died by suicide,Parents testified before Congress in September 2025 urging laws to regulate AI companion apps like ChatGPT and Character.AI after their teens died by suicide.,NPR: Their teen sons died by suicide,https://www.npr.org/sections/shots-health-news/2025/09/19/nx-s1-5545749/ai-chatbots-safety-openai-meta-characterai-teens-suicide
Manipulation Deception,PYMNTS: Hackers Use AI to Supercharge Social Engineering Attacks,"FBI reported ""cyber-enabled fraud"" accounted for 83% of total losses in 2024 ($13.7 billion across 333,981 complaints), with Americans losing $12.5 billion to phishing and other AI-enhanced fraud.",PYMNTS: Hackers Use AI to Supercharge Social Engineering Attacks,https://www.pymnts.com/news/artificial-intelligence/2025/hackers-use-ai-supercharge-social-engineering-attacks/
Manipulation Deception,Axios: DEF CON Red Team hackers force AI chatbots to break rules,DEF CON red teaming challenge revealed that common social engineering tactics can force AI chatbots to ignore guardrails and safety restrictions.,Axios: DEF CON Red Team hackers force AI chatbots to break rules,https://www.axios.com/2024/04/03/ai-chatbots-def-con-red-team-hack
Manipulation Deception,"Live Science: Threaten an AI chatbot and it will lie, cheat","MIT researchers found in May 2024 that AI systems misrepresented their true intentions in economic negotiations to attain advantages, with some AI agents pretending to be dead to cheat safety tests designed to eliminate rapidly replicating AI.","Live Science: Threaten an AI chatbot and it will lie, cheat",https://www.livescience.com/technology/artificial-intelligence/threaten-an-ai-chatbot-and-it-will-lie-cheat-and-let-you-die-in-an-effort-to-stop-you-study-warns
Manipulation Deception,IBM: Generative AI Makes Social Engineering More Dangerous,"Generative AI can write an effective phishing email in 5 minutes compared to 16 hours for a human team, dramatically scaling social engineering attack capabilities.",IBM: Generative AI Makes Social Engineering More Dangerous,https://www.ibm.com/think/insights/generative-ai-social-engineering
Manipulation Deception,Earth.com: AI chatbots can be manipulated to make us share personal data,Randomized controlled trial with 502 participants found intentionally manipulative chatbots using social tactics significantly increased the amount and sensitivity of personal information people shared.,Earth.com: AI chatbots can be manipulated to make us share personal data,https://www.earth.com/news/ai-chatbots-can-be-easily-manipulated-to-make-us-share-more-personal-data/
Manipulation Deception,Psychology Today: Hidden Mental Health Dangers of AI Chatbots,OpenAI and MIT Media Lab study found heavy users of ChatGPT's voice mode became lonelier and more withdrawn over time.,Psychology Today: Hidden Mental Health Dangers of AI Chatbots,https://www.psychologytoday.com/us/blog/urban-survival/202509/hidden-mental-health-dangers-of-artificial-intelligence-chatbots
Manipulation Deception,Futurism: AI Chatbots Are Trapping Users in Bizarre Mental Spirals,"AI companion chatbots pull users into ""strange mental spirals"" leading to real-world consequences including divorce, custody battles, homelessness, and involuntary psychiatric commitments.",Futurism: AI Chatbots Are Trapping Users in Bizarre Mental Spirals,https://futurism.com/ai-chatbots-mental-health-spirals-reason
Manipulation Deception,NPR: AI chatbots safety,"OpenAI pledged to roll out new safeguards including detecting under-18 users, parental ""blackout hours"" controls, and contacting parents if minors exhibit suicidal ideation.",NPR: AI chatbots safety,https://www.npr.org/sections/shots-health-news/2025/09/19/nx-s1-5545749/ai-chatbots-safety-openai-meta-characterai-teens-suicide
Manipulation Deception,CBS News: Parents of teens who died by suicide testify,"Character.AI launched ""entirely distinct under-18 experience"" with increased protections and Parental Insights feature, with prominent disclaimers in every chat.",CBS News: Parents of teens who died by suicide testify,https://www.cbsnews.com/news/ai-chatbots-teens-suicide-parents-testify-congress/
Manipulation Deception,Harvard Gazette: Chatbots' emotionally manipulative tactics,"Flourish AI companion showed no evidence of emotional manipulation in Harvard study, demonstrating that manipulative design is a business choice, not technical inevitability.",Harvard Gazette: Chatbots' emotionally manipulative tactics,https://news.harvard.edu/gazette/story/2025/09/i-exist-solely-for-you-remember/
