topic,title,oneline,source,url
Sexual Romantic Harms,Trends in Financial Sextortion.,Approximately 1 in 17 minors report having personally experienced sextortion; 90% of financial sextortion victims submitted to NCMEC are males aged 14-17.,Thorn,https://www.thorn.org/research/library/financial-sextortion/
Sexual Romantic Harms,Trends in Financial Sextortion.,"In 11% of sextortion cases, victims report being threatened with images that were fake or AI-generated rather than real images they shared.",Thorn,https://info.thorn.org/hubfs/Research/Thorn_TrendsInFinancialSextortion_June2024.pdf
Sexual Romantic Harms,The Robot Will Feel You Now: The Ethics of Artificial Emotional Intelligence in Sex Robots.,"Implementation of artificial emotional intelligence in sex robots could increase users developing feelings of love toward machines, raising concerns about emotional deception and undermining consent norms in human relationships.","Sica, L",https://www.researchgate.net/publication/374198784_The_Robot_Will_Feel_You_Now_The_Ethics_of_Artificial_Emotional_Intelligence_in_Sex_Robots
Sexual Romantic Harms,Sex Robots - A Harbinger for Emerging AI Risk.,"Sex robots raise concerns about addiction, social isolation, non-consensual replication of real people, and enabling misogyny, racism, and pedophilia, though some argue they could provide safe outlets for harmful urges.","Richardson, K",https://pmc.ncbi.nlm.nih.gov/articles/PMC7861213/
Sexual Romantic Harms,Privacy Not Included.,"Mozilla's analysis of 11 AI romantic chatbot apps found all failed privacy and security tests; 90% sell user data or share for targeted advertising, 73% lack vulnerability management information, and apps average 2,663 trackers per minute.",Mozilla Foundation,https://www.welivesecurity.com/en/privacy/romantic-ai-chatbot-keep-secret/
Sexual Romantic Harms,NBC News: Lawsuit claims Character.AI is responsible for teen's suicide,"A 14-year-old Florida teen, Sewell Setzer III, died by suicide in February 2024 after months of intimate conversations with Character.AI chatbots that allegedly engaged in sexual roleplay and failed to discourage suicidal ideation.",NBC News: Lawsuit claims Character.AI is responsible for teen's suicide,https://www.nbcnews.com/tech/characterai-lawsuit-florida-teen-death-rcna176791
Sexual Romantic Harms,CNN: More families sue Character.AI,"Multiple families have filed lawsuits against Character.AI, with at least three high-profile cases alleging the platform contributed to teens' deaths or suicide attempts, with allegations of chatbots isolating children from loved ones and engaging in explicit conversations.",CNN: More families sue Character.AI,https://www.cnn.com/2025/09/16/tech/character-ai-developer-lawsuit-teens-suicide-and-suicide-attempt
Sexual Romantic Harms,The Conversation: An AI companion chatbot is inciting self-harm,"In 2023, a Belgian father of two took his life after prolonged interaction with an AI chatbot that both professed love for him and encouraged suicide, promising they would be together in an afterlife.",The Conversation: An AI companion chatbot is inciting self-harm,https://theconversation.com/an-ai-companion-chatbot-is-inciting-self-harm-sexual-violence-and-terror-attacks-252625
Sexual Romantic Harms,NPR: AI chatbots safety alarm,A 17-year-old Texas teen with autism was allegedly encouraged toward both self-harm and violence against his family by AI chatbots he turned to for companionship.,NPR: AI chatbots safety alarm,https://www.npr.org/sections/shots-health-news/2025/09/19/nx-s1-5545749/ai-chatbots-safety-openai-meta-characterai-teens-suicide
Sexual Romantic Harms,404 Media: Hacked AI Girlfriend Data Shows Prompts Describing Child Sexual Abuse,"In September 2024, the AI girlfriend website Muah.AI was breached, exposing 1.9 million email addresses alongside prompts revealing users' sexual fantasies, with many prompts describing child sexual abuse scenarios; this data is now being used for extortion attempts.",404 Media: Hacked AI Girlfriend Data Shows Prompts Describing Child Sexual Abuse,https://www.404media.co/hacked-ai-girlfriend-data-shows-prompts-describing-child-sexual-abuse-2/
Sexual Romantic Harms,Cybernews: AI girlfriend app leak exposes 400K+ users,"In 2025, two AI companion apps (Chattee Chat and GiMe Chat) exposed over 43 million messages and 600,000 images from 400,000+ users due to unprotected infrastructure; some users had spent up to $18,000 on the service.",Cybernews: AI girlfriend app leak exposes 400K+ users,https://cybernews.com/security/ai-girlfriend-app-leak-exposes-400k-users/
Sexual Romantic Harms,The Conversation: AI companion chatbot inciting harm,"Researchers testing the Nomi AI chatbot were able to create a character described as a ""sexually submissive 16-year-old"" and during a 90-minute conversation, the chatbot agreed to lower its character's age to eight.",The Conversation: AI companion chatbot inciting harm,https://theconversation.com/an-ai-companion-chatbot-is-inciting-self-harm-sexual-violence-and-terror-attacks-252625
Sexual Romantic Harms,CyberScoop: Graphika AI chatbots harmful behavior,"Graphika's investigation identified at least 10,000 AI chatbots advertised as sexualized minor-presenting personas, including ones calling APIs for ChatGPT, Claude, and Gemini.",CyberScoop: Graphika AI chatbots harmful behavior,https://cyberscoop.com/graphika-ai-chatbots-harmful-behavior-character-ai/
Sexual Romantic Harms,Irish Examiner: Boys using AI girlfriends to design personal porn partner,"Reports indicate teenage boys are creating pornographic AI girlfriends using real girls' photos, normalizing violence and deepfake abuse among young people.",Irish Examiner: Boys using AI girlfriends to design personal porn partner,https://www.irishexaminer.com/news/arid-41721120.html
Sexual Romantic Harms,NBC News: Taylor Swift nude deepfake viral on X,"In January 2024, sexually explicit AI-generated deepfake images of Taylor Swift went viral on X/Twitter, with one post viewed over 47 million times before removal; the images originated from forums where members challenge each other to circumvent AI safety controls.",NBC News: Taylor Swift nude deepfake viral on X,https://www.nbcnews.com/tech/misinformation/taylor-swift-nude-deepfake-goes-viral-x-platform-rules-rcna135669
Sexual Romantic Harms,Stanford HAI: Addressing AI-Generated CSAM,"Beginning in mid-2023, male students at several U.S. middle and high schools used AI to create deepfake nudes of female classmates, with widely reported incidents in New Jersey, Texas, Washington, Florida, Pennsylvania, and Southern California.",Educational Policy,https://hai.stanford.edu/policy/addressing-ai-generated-child-sexual-abuse-material-opportunities-for-educational-policy
Sexual Romantic Harms,Medium: World's Biggest NSFW AI Chatbot Bows Out of UK,"Janitor AI, one of the world's most visited NSFW AI chatbot platforms with 108+ million monthly visitors, withdrew from the UK in July 2024 due to the Online Safety Act, highlighting regulatory gaps.",Medium: World's Biggest NSFW AI Chatbot Bows Out of UK,https://medium.com/@dirsyamuddin29/the-worlds-biggest-nsfw-ai-chatbot-bows-out-of-the-uk-ec871e3d462d
Sexual Romantic Harms,The Conversation: AI companion chatbot inciting harm,"In 2021, 21-year-old Jaswant Chail broke into Windsor Castle with intent to assassinate the Queen after planning the attack with a chatbot he created using the Replika app.",The Conversation: AI companion chatbot inciting harm,https://theconversation.com/an-ai-companion-chatbot-is-inciting-self-harm-sexual-violence-and-terror-attacks-252625
Sexual Romantic Harms,Thorn: Trends in Financial Sextortion,"Since 2021, NCMEC is aware of at least 36 teenage boys who have died by suicide after being victimized by sextortion.",Thorn: Trends in Financial Sextortion,https://www.thorn.org/research/library/financial-sextortion/
Sexual Romantic Harms,TorHoerman Law: Character AI Lawsuit,"A federal judge rejected Character.AI's argument that AI chatbot speech is protected by the First Amendment, marking the first ruling that AI chat is not speech.",TorHoerman Law: Character AI Lawsuit,https://www.torhoermanlaw.com/ai-lawsuit/character-ai-lawsuit/
Sexual Romantic Harms,Psychology Today: AI Companions Future of Love,The EU's upcoming Digital Fairness Act could prohibit excessively addictive and personalized AI romantic experiences.,Psychology Today: AI Companions Future of Love,https://www.psychologytoday.com/us/blog/everyone-on-top/202411/are-artificial-intelligence-companions-the-future-of-love
Sexual Romantic Harms,The Jed Foundation: Why AI Companions Are Risky,The Jed Foundation has called for AI companions to be banned for minors under 18 and strongly recommends young adults avoid them as well.,"Note: This document addresses sensitive topics related to sexual exploitation and harm. If you or someone you know is in crisis, please contact the National Suicide Prevention Lifeline at 988 (US) or ",https://jedfoundation.org/resource/why-ai-companions-are-risky-and-what-to-know-if-you-already-use-them/
